Datetime,Water Level ,QC
22/04/2011 00:00:00,479.491,2
23/04/2011 00:00:00,479.501,2
24/04/2011 00:00:00,479.505,2
25/04/2011 00:00:00,479.511,2
26/04/2011 00:00:00,479.494,2
27/04/2011 00:00:00,479.475,2
28/04/2011 00:00:00,479.472,2
29/04/2011 00:00:00,479.467,2
30/04/2011 00:00:00,479.464,2
01/05/2011 0:00:00,479.462,2
02/05/2011 0:00:00,479.47,2
03/05/2011 0:00:00,479.487,2
04/05/2011 0:00:00,479.494,2
05/05/2011 0:00:00,479.498,2
06/05/2011 0:00:00,479.491,2
07/05/2011 0:00:00,479.482,2
08/05/2011 0:00:00,479.477,2
09/05/2011 0:00:00,479.489,2
10/05/2011 0:00:00,479.488,2
11/05/2011 0:00:00,479.485,2
12/05/2011 0:00:00,479.482,2
13/05/2011 00:00:00,479.481,2
14/05/2011 00:00:00,479.494,2
15/05/2011 00:00:00,479.477,2
16/05/2011 00:00:00,479.47,2
17/05/2011 00:00:00,479.464,2
18/05/2011 00:00:00,479.458,2
19/05/2011 00:00:00,479.45,2
20/05/2011 00:00:00,479.443,2
21/05/2011 00:00:00,479.436,2
22/05/2011 00:00:00,479.434,2
23/05/2011 00:00:00,479.47,2
24/05/2011 00:00:00,479.496,2
25/05/2011 00:00:00,479.49,2
26/05/2011 00:00:00,479.484,2
27/05/2011 00:00:00,479.478,2
28/05/2011 00:00:00,479.476,2
29/05/2011 00:00:00,479.475,2
30/05/2011 00:00:00,479.485,2
31/05/2011 00:00:00,479.492,2
01/06/2011 0:00:00,479.488,2
02/06/2011 0:00:00,479.483,2
03/06/2011 0:00:00,479.477,2
04/06/2011 0:00:00,479.477,2
05/06/2011 0:00:00,479.478,2
06/06/2011 0:00:00,479.483,2
07/06/2011 0:00:00,479.49,2
08/06/2011 0:00:00,479.504,2
09/06/2011 0:00:00,479.495,2
10/06/2011 0:00:00,479.452,2
11/06/2011 0:00:00,479.462,2
12/06/2011 0:00:00,479.473,2
13/06/2011 00:00:00,479.475,2
14/06/2011 00:00:00,479.478,2
15/06/2011 00:00:00,479.473,2
16/06/2011 00:00:00,479.466,2
17/06/2011 00:00:00,479.464,2
18/06/2011 00:00:00,479.464,2
19/06/2011 00:00:00,479.461,2
